goos: linux
goarch: amd64
pkg: github.com/getsyntegrity/go-specs/specs
cpu: 13th Gen Intel(R) Core(TM) i7-13620H
BenchmarkFalseSharing_Chunk1_Padded-2      	   32078	     78903 ns/op	   98762 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-2      	   30139	     81377 ns/op	   98761 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-2      	   28862	     85211 ns/op	   98761 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-2      	   29574	     81936 ns/op	   98761 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-2      	   30282	     79637 ns/op	   98761 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-2      	   30433	     81401 ns/op	   98761 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-2      	   27478	     94156 ns/op	   98761 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-2      	   28592	    103672 ns/op	   98762 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-2      	   27693	     83063 ns/op	   98761 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-2      	   29778	    108905 ns/op	   98762 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-2      	   28492	     84838 ns/op	   98761 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-2      	   19533	    122930 ns/op	   98762 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-2      	   27618	     87767 ns/op	   98761 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-4      	   29708	     84672 ns/op	   99183 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-4      	   29784	     84327 ns/op	   99183 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-4      	   25317	     92925 ns/op	   99182 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-4      	   24976	     85415 ns/op	   99182 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-4      	   28436	    135586 ns/op	   99183 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-4      	   24693	     88577 ns/op	   99182 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-4      	   25657	     88009 ns/op	   99183 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-4      	   32079	     82159 ns/op	   99183 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-4      	   30778	     82744 ns/op	   99183 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-4      	   29216	     96276 ns/op	   99183 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-4      	   27756	    102102 ns/op	   99183 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-4      	   27187	     84195 ns/op	   99183 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-4      	   27900	     88699 ns/op	   99183 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-4      	   23642	     84606 ns/op	   99182 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-4      	   28458	     86775 ns/op	   99183 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-4      	   25078	     86301 ns/op	   99183 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-4      	   28298	     85529 ns/op	   99183 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-4      	   29145	     87105 ns/op	   99182 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-4      	   26913	     85209 ns/op	   99183 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-4      	   28730	     84696 ns/op	   99182 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-8      	   24330	     99607 ns/op	  100018 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-8      	   23664	     99068 ns/op	  100018 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-8      	   24186	     98957 ns/op	  100017 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-8      	   24546	     95568 ns/op	  100017 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-8      	   24661	    114698 ns/op	  100017 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-8      	   23461	     94702 ns/op	  100018 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-8      	   24544	     97196 ns/op	  100016 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-8      	   23420	    104974 ns/op	  100017 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-8      	   23427	    103627 ns/op	  100017 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-8      	   22834	    107747 ns/op	  100018 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-8      	   10000	    217946 ns/op	  100028 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-8      	   22717	     99838 ns/op	  100017 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-8      	   23842	     98163 ns/op	  100017 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-8      	   22274	    105729 ns/op	  100017 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-8      	   24715	    109856 ns/op	  100017 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-8      	   23775	    133780 ns/op	  100021 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-8      	   22237	    106466 ns/op	  100018 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-8      	   24177	     94661 ns/op	  100018 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-8      	   23928	     93171 ns/op	  100018 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Padded-8      	   29866	     83672 ns/op	  100018 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline     	   67197	     36434 ns/op	   98529 B/op	       9 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline     	   70371	     34825 ns/op	   98529 B/op	       9 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline     	   65200	     38231 ns/op	   98529 B/op	       9 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline     	   62709	     37803 ns/op	   98529 B/op	       9 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline     	   61952	     37903 ns/op	   98529 B/op	       9 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline     	   60242	     38460 ns/op	   98529 B/op	       9 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline     	   61855	     39095 ns/op	   98529 B/op	       9 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline     	   64038	     37373 ns/op	   98529 B/op	       9 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline     	   70336	     34714 ns/op	   98529 B/op	       9 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline     	   68905	     53586 ns/op	   98529 B/op	       9 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline     	   63273	     37032 ns/op	   98529 B/op	       9 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline     	   52868	     48557 ns/op	   98529 B/op	       9 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline     	   65145	     37213 ns/op	   98529 B/op	       9 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline     	   64251	     40523 ns/op	   98529 B/op	       9 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline     	   54378	     43242 ns/op	   98529 B/op	       9 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline     	   61980	     40433 ns/op	   98529 B/op	       9 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline     	   61500	     39881 ns/op	   98529 B/op	       9 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline     	   63493	     35355 ns/op	   98529 B/op	       9 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline     	   70719	     37363 ns/op	   98529 B/op	       9 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline     	   67664	     35740 ns/op	   98529 B/op	       9 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-2   	   60638	     50450 ns/op	   98702 B/op	      12 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-2   	   55810	     47214 ns/op	   98702 B/op	      12 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-2   	   49984	     44293 ns/op	   98702 B/op	      12 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-2   	   61364	     46965 ns/op	   98703 B/op	      12 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-2   	   54294	     44420 ns/op	   98702 B/op	      12 allocs/op
